,source,type,year,id,score,sent_a,sent_b
0,main-captions,MSRvid,2012test,0004,3.800,A man is playing a large flute.,A man is playing a flute.
1,main-captions,MSRvid,2012test,0005,3.800,A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.
2,main-captions,MSRvid,2012test,0006,2.600,Three men are playing chess.,Two men are playing chess.
3,main-captions,MSRvid,2012test,0009,4.250,A man is playing the cello.,A man seated is playing the cello.
4,main-captions,MSRvid,2012test,0011,4.250,Some men are fighting.,Two men are fighting.
5,main-captions,MSRvid,2012test,0012,0.500,A man is smoking.,A man is skating.
6,main-captions,MSRvid,2012test,0013,1.600,The man is playing the piano.,The man is playing the guitar.
7,main-captions,MSRvid,2012test,0014,2.200,A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.
8,main-captions,MSRvid,2012test,0016,5.000,A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.
9,main-captions,MSRvid,2012test,0017,4.200,The man hit the other man with a stick.,The man spanked the other man with a stick.
10,main-captions,MSRvid,2012test,0018,4.600,A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.
11,main-captions,MSRvid,2012test,0019,3.867,A man is playing a flute.,A man is playing a bamboo flute.
12,main-captions,MSRvid,2012test,0020,4.667,A person is folding a piece of paper.,Someone is folding a piece of paper.
13,main-captions,MSRvid,2012test,0021,1.667,A man is running on the road.,A panda dog is running on the road.
14,main-captions,MSRvid,2012test,0022,3.750,A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.
15,main-captions,MSRvid,2012test,0025,5.000,The polar bear is sliding on the snow.,A polar bear is sliding across the snow.
16,main-captions,MSRvid,2012test,0026,0.500,A woman is writing.,A woman is swimming.
17,main-captions,MSRvid,2012test,0028,3.800,A cat is rubbing against baby's face.,A cat is rubbing against a baby.
18,main-captions,MSRvid,2012test,0029,5.000,The man is riding a horse.,A man is riding on a horse.
19,main-captions,MSRvid,2012test,0030,3.200,A man pours oil into a pot.,A man pours wine in a pot.
20,main-captions,MSRvid,2012test,0031,2.800,A man is playing a guitar.,A girl is playing a guitar.
21,main-captions,MSRvid,2012test,0032,4.600,A panda is sliding down a slide.,A panda slides down a slide.
22,main-captions,MSRvid,2012test,0034,3.000,A woman is eating something.,A woman is eating meat.
23,main-captions,MSRvid,2012test,0035,5.000,A woman peels a potato.,A woman is peeling a potato.
24,main-captions,MSRvid,2012test,0038,4.800,The boy fell off his bike.,A boy falls off his bike.
25,main-captions,MSRvid,2012test,0040,5.000,The woman is playing the flute.,A woman is playing a flute.
26,main-captions,MSRvid,2012test,0042,4.200,A rabbit is running from an eagle.,A hare is running from a eagle.
27,main-captions,MSRvid,2012test,0044,4.200,The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.
28,main-captions,MSRvid,2012test,0046,4.000,A girl is flying a kite.,A girl running is flying a kite.
29,main-captions,MSRvid,2012test,0047,4.000,A man is riding a mechanical bull.,A man rode a mechanical bull.
30,main-captions,MSRvid,2012test,0048,4.909,The man is playing the guitar.,A man is playing a guitar.
31,main-captions,MSRvid,2012test,0050,3.000,A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.
32,main-captions,MSRvid,2012test,0052,2.400,A man is slicing a bun.,A man is slicing an onion.
33,main-captions,MSRvid,2012test,0053,4.200,A man is pouring oil into a pan.,A man is pouring oil into a skillet.
34,main-captions,MSRvid,2012test,0054,3.400,A lion is playing with people.,A lion is playing with two men.
35,main-captions,MSRvid,2012test,0055,5.000,A dog rides a skateboard.,A dog is riding a skateboard.
36,main-captions,MSRvid,2012test,0056,3.750,Someone is carving a statue.,A man is carving a statue.
37,main-captions,MSRvid,2012test,0057,2.750,A woman is slicing an onion.,A man is cutting an onion.
38,main-captions,MSRvid,2012test,0058,5.000,A woman peels shrimp.,A woman is peeling shrimp.
39,main-captions,MSRvid,2012test,0059,4.000,A woman is frying fish.,A woman is cooking fish.
40,main-captions,MSRvid,2012test,0061,3.600,A woman is playing an electric guitar.,A woman is playing a guitar.
41,main-captions,MSRvid,2012test,0062,1.600,A baby tiger is playing with a ball.,A baby is playing with a doll.
42,main-captions,MSRvid,2012test,0064,1.750,A person is slicing a tomato.,A person is slicing some meat.
43,main-captions,MSRvid,2012test,0065,5.000,A person cuts an onion.,A person is cutting an onion.
44,main-captions,MSRvid,2012test,0068,1.000,A man is playing the piano.,A woman is playing the violin.
45,main-captions,MSRvid,2012test,0069,1.000,A woman is playing the flute.,A man is playing the guitar.
46,main-captions,MSRvid,2012test,0070,2.375,A man is cutting up a potato.,A man is cutting up carrots.
47,main-captions,MSRvid,2012test,0071,3.800,A kid is playing guitar.,A boy is playing a guitar.
48,main-captions,MSRvid,2012test,0072,3.200,A boy is playing guitar.,A man is playing a guitar.
49,main-captions,MSRvid,2012test,0073,3.200,A man is playing guitar.,A boy is playing a guitar.
50,main-captions,MSRvid,2012test,0075,4.400,A little boy is playing a keyboard.,A boy is playing key board.
51,main-captions,MSRvid,2012test,0077,3.750,A man is playing a guitar.,A man is playing an electric guitar.
52,main-captions,MSRvid,2012test,0078,4.750,A dog licks a baby.,A dog is licking a baby.
53,main-captions,MSRvid,2012test,0080,3.200,A woman is slicing an onion.,A man is cutting and onion.
54,main-captions,MSRvid,2012test,0081,1.556,A man is playing the guitar.,A man is playing the drums.
55,main-captions,MSRvid,2012test,0083,3.938,A woman is slicing a pepper.,A woman is cutting a red pepper.
56,main-captions,MSRvid,2012test,0084,5.000,A man is playing the drums.,A man plays the drum.
57,main-captions,MSRvid,2012test,0085,5.000,A woman rides a horse.,A woman is riding a horse.
58,main-captions,MSRvid,2012test,0086,4.000,A man is eating a banana by a tree.,A man is eating a banana.
59,main-captions,MSRvid,2012test,0087,1.600,A cat is playing a key board.,A man is playing two keyboards.
60,main-captions,MSRvid,2012test,0089,4.750,A man chops down a tree with an axe.,A man cut a tree with an axe.
61,main-captions,MSRvid,2012test,0090,3.500,A kid plays with a toy phone.,A little boy plays with a toy phone.
62,main-captions,MSRvid,2012test,0093,1.400,A man is riding a motorcycle.,A man is riding a horse.
63,main-captions,MSRvid,2012test,0094,1.400,A man is riding a motorcycle.,A man is riding a horse.
64,main-captions,MSRvid,2012test,0099,4.000,A squirrel is spinning around in circles.,A squirrel runs around in circles.
65,main-captions,MSRvid,2012test,0101,5.000,A man and a woman are kissing.,A man and woman kiss.
66,main-captions,MSRvid,2012test,0102,3.833,A man is getting into a car.,A man is getting into a car in a garage.
67,main-captions,MSRvid,2012test,0104,0.600,A man is dancing.,A man is talking.
68,main-captions,MSRvid,2012test,0105,2.917,A man is playing the guitar and singing.,A man is playing the guitar.
69,main-captions,MSRvid,2012test,0106,4.200,A person is cutting mushrooms.,A person is cutting mushrooms with a knife.
70,main-captions,MSRvid,2012test,0108,2.000,A tiger cub is making a sound.,A tiger is walking around.
71,main-captions,MSRvid,2012test,0109,2.600,A person is slicing onions.,A person is peeling an onion.
72,main-captions,MSRvid,2012test,0110,1.600,A man is playing the piano.,A man is playing the trumpet.
73,main-captions,MSRvid,2012test,0111,2.000,A woman is peeling a potato.,A woman is peeling an apple.
74,main-captions,MSRvid,2012test,0112,4.200,A pankda is eating bamboo.,A panda bear is eating some bamboo.
75,main-captions,MSRvid,2012test,0113,2.000,A person is peeling an onion.,A person is peeling an eggplant.
76,main-captions,MSRvid,2012test,0114,4.800,A monkey pushes another monkey.,The monkey pushed the other monkey.
77,main-captions,MSRvid,2012test,0115,4.400,A squirrel runs around in circles.,A squirrel is moving in circles.
78,main-captions,MSRvid,2012test,0116,5.000,A man is tying his shoe.,A man ties his shoe.
79,main-captions,MSRvid,2012test,0117,3.000,A boy is singing and playing the piano.,A boy is playing the piano.
80,main-captions,MSRvid,2012test,0118,4.250,A dog is eating water melon.,A dog is eating a piece of watermelon.
81,main-captions,MSRvid,2012test,0119,4.250,A woman is chopping broccoli.,A woman is chopping broccoli with a knife.
82,main-captions,MSRvid,2012test,0120,3.800,A man is peeling a potato.,A man peeled a potatoe.
83,main-captions,MSRvid,2012test,0121,2.400,A woman is playing a guitar.,A man plays a guitar.
84,main-captions,MSRvid,2012test,0123,1.600,A woman is slicing tomato.,A man is slicing onion.
85,main-captions,MSRvid,2012test,0125,2.000,A man swims underwater.,A woman is swimming underwater.
86,main-captions,MSRvid,2012test,0126,1.600,A man and woman are talking.,A man and woman is eating.
87,main-captions,MSRvid,2012test,0129,4.000,A small dog is chasing a yoga ball.,A dog is chasing a ball.
88,main-captions,MSRvid,2012test,0130,2.200,The men are playing cricket.,The men are playing basketball.
89,main-captions,MSRvid,2012test,0131,4.400,A man rides off on a motorcycle.,A man is riding on a motorcycle.
90,main-captions,MSRvid,2012test,0132,3.600,A man is playing a guitar.,A man is singing and playing a guitar.
91,main-captions,MSRvid,2012test,0133,3.600,The man talked on the telephone.,The man is talking on the phone.
92,main-captions,MSRvid,2012test,0135,0.500,A man is fishing.,A man is exercising.
93,main-captions,MSRvid,2012test,0136,0.800,A man is levitating.,A man is talking.
94,main-captions,MSRvid,2012test,0138,0.600,Two boys are driving.,Two bays are dancing.
95,main-captions,MSRvid,2012test,0141,2.600,A man is riding on a horse.,A girl is riding a horse.
96,main-captions,MSRvid,2012test,0142,2.000,A man is riding a bicycle.,A monkey is riding a bike.
97,main-captions,MSRvid,2012test,0143,2.200,A man is slicing potatoes.,A woman is peeling potato.
98,main-captions,MSRvid,2012test,0144,2.400,A woman is peeling a potato.,A man is slicing potato.
99,main-captions,MSRvid,2012test,0145,3.600,A man is playing a guitar.,Someoen is playing guitar.
100,main-captions,MSRvid,2012test,0148,2.200,A woman is slicing a leek.,A woman is slicing ginger.
101,main-captions,MSRvid,2012test,0149,4.800,The man cut a paper plate.,A man is cutting a paper plate.
102,main-captions,MSRvid,2012test,0151,1.643,The man is playing the guitar.,A man is playing the flute.
103,main-captions,MSRvid,2012test,0152,1.750,A man is playing the piano.,The man is playing the violin.
104,main-captions,MSRvid,2012test,0154,2.250,A woman is slicing up some meat.,A woman is breading some meat.
105,main-captions,MSRvid,2012test,0155,4.000,A man is playing on his keyboard.,A man is playing a keyboard piano.
106,main-captions,MSRvid,2012test,0157,4.800,The lady chopped up the green onions.,The lady cut up a green onion.
107,main-captions,MSRvid,2012test,0158,3.200,Someone is sitring noodles in water.,A woman is boiling noodles in water.
108,main-captions,MSRvid,2012test,0160,4.000,Lionel Richie is dancing on the ceiling.,Lionel Ritchie dances while standing on the ceiling.
109,main-captions,MSRvid,2012test,0161,4.400,A man is playing a piano.,A person is playing the piano.
110,main-captions,MSRvid,2012test,0163,4.600,A woman is playing flute.,A woman plays on a flute.
111,main-captions,MSRvid,2012test,0164,3.800,A boy is checking a calender.,A boy is looking at a calendar.
112,main-captions,MSRvid,2012test,0165,4.800,A woman is cutting an onion.,A woman is chopping onions.
113,main-captions,MSRvid,2012test,0166,4.857,A man is playing guitar.,A man plays a guitar.
114,main-captions,MSRvid,2012test,0167,5.000,A woman is using a sewing machine.,A woman is sewing on a machine.
115,main-captions,MSRvid,2012test,0168,2.533,A woman is flipping pancakes.,A cartoon chef is flipping pancakes.
116,main-captions,MSRvid,2012test,0172,1.000,A man is running on the road.,A car is driving down the road.
117,main-captions,MSRvid,2012test,0175,1.000,A man is riding on a horse.,A man is talking on a phone.
118,main-captions,MSRvid,2012test,0176,2.000,A man is riding a bike.,A man is riding on a horse.
119,main-captions,MSRvid,2012test,0178,0.143,A woman is dancing.,A man is eating.
120,main-captions,MSRvid,2012test,0179,2.000,A man is playing a piano.,A man is playing a flute.
121,main-captions,MSRvid,2012test,0180,1.600,A man is playing a flute.,A man is playing a piano.
122,main-captions,MSRvid,2012test,0182,1.600,A man is spinning.,A man is dancing.
123,main-captions,MSRvid,2012test,0184,3.400,A monkey is swinging from limb to limb.,A monkey is swinging from tree to tree.
124,main-captions,MSRvid,2012test,0185,4.000,The people got off the train.,The people got off the train at the station.
125,main-captions,MSRvid,2012test,0187,4.800,A dog is jumping on a trampoline.,A dog bounces on a trampoline.
126,main-captions,MSRvid,2012test,0188,2.500,A boy is playing an instrument.,A man is playing a trumpet.
127,main-captions,MSRvid,2012test,0190,1.750,A woman plays the guitar.,A man sings and plays the guitar.
128,main-captions,MSRvid,2012test,0191,1.000,A woman is picking a can.,A woman is slicing a tomato.
129,main-captions,MSRvid,2012test,0192,5.000,A man is climbing a rope.,A man climbs up a rope.
130,main-captions,MSRvid,2012test,0193,1.400,A man is lifting a car.,A man is climbing a wall.
131,main-captions,MSRvid,2012test,0195,4.000,A man and woman are driving down the street in a jeep.,A man and woman are driving down the road in an open air vehicle.
132,main-captions,MSRvid,2012test,0196,3.800,The shirtless man sat in a chair.,A shirtless man is sitting on a chair.
133,main-captions,MSRvid,2012test,0198,4.000,Two women are wrestling.,Two women are wrestling on the floor.
